1;0,1;1,1;1,1;2,1;1,1;0,1;0,1;0,1;1,1;1,1;1,1;1,1;0,1;2,1;1,1;0
1;0,2;0,2;0,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,1;0
1;0,2;0,2;0,2;0,2;0,3;4,3;0,3;0,3;0,3;0,3;1,2;0,2;0,2;0,3;3,1;0
1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;11,3;4,3;1,2;0,2;0,3;3,3;0,3;0,1;0
1;0,2;0,2;0,2;0,2;0,2;0,2;0,3;11,2;0,2;0,2;0,2;0,3;0,3;0,3;0,1;0
1;0,3;2,2;0,2;0,2;0,2;0,2;0,2;4,2;0,2;0,2;0,2;0,3;0,3;0,3;0,1;0
1;0,3;0,2;0,2;0,2;0,2;5,2;0,2;3,2;0,2;0,2;0,2;9,3;0,3;0,3;0,3;0
1;0,3;0,2;0,2;0,2;0,2;0,2;8,2;0,2;0,2;0,2;1,2;3,3;0,3;0,3;0,3;0
1;0,3;0,3;2,2;6,2;0,2;0,3;8,2;0,2;0,2;0,2;0,2;0,3;4,3;0,3;0,1;0
1;0,3;0,3;0,3;2,2;0,2;0,3;5,2;0,2;0,2;0,2;0,2;0,2;0,3;4,3;0,1;0
1;0,3;0,3;0,3;0,2;0,2;0,2;0,2;10,2;0,2;8,2;0,2;0,2;0,2;0,3;4,1;0
1;0,3;0,3;0,3;0,2;0,2;1,2;9,2;9,2;0,2;6,3;9,2;0,2;0,2;0,2;0,1;0
1;0,3;0,3;0,3;0,3;2,2;0,2;8,2;2,2;3,2;0,2;0,2;0,2;0,2;0,2;0,1;0
1;3,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;4
L;4;128;1020;384;Room1,K;128;4;448;896;Room3,X;40;4;460;200;Room2Crypt
DeadTree;900;120,Gravestone_3;480;190,Bush;170;740,Gravestone_1;380;170,Gravestone_2;630;160
Guapo;100;100,Skeleton;200;200,Zombie;500;500,Guapo;150;150
