1;0,1;1,1;1,1;2,1;1,1;0,1;0,1;0,1;1,1;1,1;1,1;1,1;0,0;13,0;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;1,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;1,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;1,2;2,2;12,2;13,2;13,0;13
1;0,3;1,2;9,2;2,2;10,2;0,2;2,3;4,3;0,3;1,2;4,2;3,2;12,2;13,2;13,0;13
1;0,2;7,2;3,2;7,2;1,2;1,2;8,2;3,2;5,2;3,2;6,2;4,2;12,2;13,2;13,0;13
2;4,2;8,2;4,2;6,2;5,2;3,2;7,2;6,2;5,2;1,2;8,2;5,2;12,2;13,2;13,0;13
2;9,2;1,3;3,3;0,3;0,3;0,3;2,2;9,2;4,2;7,2;10,2;6,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;2,2;3,2;9,2;7,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;2,2;5,2;8,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;2,2;3,2;9,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,2;1,2;10,2;12,2;13,2;13,0;13
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;2,2;1,2;12,2;13,2;13,0;13
1;3,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,0;13,0;13,0;13
C;4;128;0;384;Room8
DeadTree;790;710,Tree_2;550;200,Bush;200;730,Tree;144;144
Guapo;900;100,Guapo;900;300,Guapo;900;500,Guapo;900;700,Zombie;500;300,Zombie;500;300
